Ref Probe,,0,J2:TMP117,1,J2:Si7051,2,J2:AS6221,3,J2:ADT7422,4,J1:Si7051,5,J1:AS6221,6,J1:ADT7422
Rref,Tref,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value,Time,Value
1.071751548E+02,,5318.501,-0.0078125,5318.507,17.908140182495117,5318.508,17.9765625,5318.508,17.921875,5318.515,17.918865203857422,5318.515,-0.0078125,5318.516,17.9765625
1.071752401E+02,,5318.566,-0.0078125,5318.572,17.8652400970459,5318.573,17.9609375,5318.573,17.953125,5318.58,17.918865203857422,5318.58,-0.0078125,5318.581,17.9765625
1.071754326E+02,,5318.631,-0.0078125,5318.637,17.897415161132812,5318.638,17.9609375,5318.638,17.953125,5318.645,17.94031524658203,5318.645,-0.0078125,5318.646,17.9765625
1.071752643E+02,,5318.696,-0.0078125,5318.702,17.897415161132812,5318.703,17.9609375,5318.703,17.953125,5318.71,17.94031524658203,5318.71,-0.0078125,5318.711,17.9765625
1.083570529E+02,,5318.761,-0.0078125,5318.767,17.897415161132812,5318.768,17.984375,5318.768,17.953125,5318.775,17.94031524658203,5318.775,-0.0078125,5318.776,17.9765625
1.083565580E+02,,5318.826,-0.0078125,5318.832,17.8652400970459,5318.833,17.984375,5318.833,17.9453125,5318.84,17.897415161132812,5318.84,-0.0078125,5318.841,17.9765625
1.083566423E+02,,5318.891,-0.0078125,5318.897,17.886690139770508,5318.898,17.9765625,5318.898,17.9453125,5318.905,17.897415161132812,5318.905,-0.0078125,5318.906,17.9765625
1.083568120E+02,,5318.956,-0.0078125,5318.962,17.886690139770508,5318.963,17.9765625,5318.963,17.9453125,5318.97,17.908140182495117,5318.97,-0.0078125,5318.971,17.9765625
1.083570350E+02,,5319.021,-0.0078125,5319.027,17.897415161132812,5319.028,17.9765625,5319.028,17.90625,5319.035,17.929590225219727,5319.035,-0.0078125,5319.036,17.9453125
1.083569979E+02,,5319.086,-0.0078125,5319.092,17.897415161132812,5319.093,17.9765625,5319.093,17.90625,5319.1,17.929590225219727,5319.1,-0.0078125,5319.101,17.9453125
1.083569302E+02,,5319.151,-0.0078125,5319.157,17.886690139770508,5319.158,17.9765625,5319.158,17.90625,5319.165,17.929590225219727,5319.165,-0.0078125,5319.166,17.9453125
1.083569452E+02,,6115.616,-0.0078125,6115.622,20.878992080688477,6115.623,20.9609375,6115.623,20.90625,6115.63,20.91116714477539,6115.63,-0.0078125,6115.631,20.953125
1.083571259E+02,,6115.681,-0.0078125,6115.687,20.857542037963867,6115.688,20.9609375,6115.688,20.90625,6115.695,20.91116714477539,6115.695,-0.0078125,6115.696,20.953125
1.083568513E+02,,6115.746,-0.0078125,6115.752,20.878992080688477,6115.753,20.96875,6115.753,20.90625,6115.76,20.91116714477539,6115.76,-0.0078125,6115.761,20.953125
